"TimeVN","Tỉnh Hà Tây","Tỉnh Hà Giang","Tỉnh Hà Tây","Thủ Ðô Hà Nội","Tỉnh Hà Tĩnh"
"8/23/2017","2","2","27","48","13"
"8/24/2017","108","43","71","113","84"
"8/25/2017","32","6.6","2","21","49"
"8/26/2017","10","0","0.5","0.6","23"
"8/27/2017","4","0","1.5","0","0.5"
"8/28/2017","3","0","7","0","14"
"8/29/2017","9","5","32","31","48"
"8/30/2017","9","8.3","18","14","6"
"8/31/2017","0.2","0","0","4.9","6"
"9/1/2017","0","0","2","7","0"
"9/2/2017","0.2","0","0","0","0"
"9/3/2017","22","20","0","11.1","6"
"9/4/2017","11","13.5","10","79","2"
"9/5/2017","8","0.5","0.5","22.2","0.4"
"9/6/2017","24","5","2","7","2.2"
"9/7/2017","1.1","5","17","9","11"
"9/8/2017","16","13","0","63","38.3"
"9/9/2017","44","20","3","15","3.3"
"9/10/2017","28","2","0.6","18","0.4"
"9/11/2017","1","6","26","51","15"
"9/12/2017","0","0","0","0.8","0.3"
"9/13/2017","0.5","0","0","38","1.4"
"9/14/2017","0","0","0","0","0.7"
"9/15/2017","0","0","0","0","0"
"9/16/2017","10","4","15","3.6","12"
"9/17/2017","0","0","0","0","0.2"
"9/18/2017","0","0","0","0","0"
"9/19/2017","0","0","0","0","0"
"9/20/2017","27","0","26","12","0"
"9/21/2017","0","0","0.1","0","62"
"9/22/2017","40","2.4","14","8","3"
"9/23/2017","0","0","8","0.2","0"
"9/24/2017","0","0","0","0","0"
"9/25/2017","0.3","0","2","0","0"
"9/26/2017","2","0.4","10","6.9","29.1"
"9/27/2017","0","0","0","0","0.2"
"9/28/2017","0","0","0","0","0"
"9/29/2017","10","1","33","34","0.9"
"9/30/2017","0","0.2","0","0.6","22.4"
"10/1/2017","0","0.2","0","0.2","2.4"
"10/2/2017","0","0","3.3","49","14.2"
"10/3/2017","1.2","2","4","22","3"
"10/4/2017","0","0.3","0.2","9","0.7"
"10/5/2017","0","0","0.5","0","0.2"
"10/6/2017","2","0.1","13","6","0.2"
"10/7/2017","2","12","22.4","9","3"
"10/8/2017","0","0.4","2","0.5","4.2"
"10/9/2017","0","0","0","0","0"
"10/10/2017","10","24","24","11.4","5.2"
"10/11/2017","54","60","33","48","42"
"10/12/2017","11.3","5","0.4","21","21"
"10/13/2017","12.3","13.2","22","0.9","0.1"
"10/14/2017","0","0","0","0","0"
"10/15/2017","0","0","0","0","0"
"10/16/2017","6","8","24","3","0"
"10/17/2017","5","1.7","12","0.5","0.3"
"10/18/2017","1.9","0.4","16","0.1","0.2"
"10/19/2017","2.6","0","0.6","0.5","2.1"
"10/20/2017","0.3","0","0","0","0"
"10/21/2017","3","0","0","0.1","0"
"10/22/2017","1","0","0","1.2","4"
"10/23/2017","0.2","0","0","2","3.6"
"10/24/2017","0","0","0","0","0"
"10/25/2017","0","0","0","0","0"
"10/26/2017","5","0","0","0","0.1"
"10/27/2017","2.3","0","0","0","1.1"
"10/28/2017","0.2","0","0","0.2","0"
"10/29/2017","0.3","3","0","38","6"
"10/30/2017","0","0","0","0","0"
"10/31/2017","0","0","0","0","0"
"11/1/2017","0","0","0","0","0"
"11/2/2017","0","0","0","0","0"
"11/3/2017","0","0","0","0","0"
"11/4/2017","0","0","0","0","0"
"11/5/2017","0.1","0","0","0.2","0.5"
"11/6/2017","1","0.6","0.2","0.8","3"
"11/7/2017","3.7","0.3","0.1","2.3","7.6"
"11/8/2017","4","0","0","3","1"
"11/9/2017","1","7.8","14","5","3"
"11/10/2017","0.2","1.4","0","1","0.2"
"11/11/2017","0.4","0","0","0","0.3"
"11/12/2017","0","0","0","2.2","0"
"11/13/2017","0","0","0","1","0"
"11/14/2017","0","0","0","2.2","0"
"11/15/2017","0","0","0","3","0"
"11/16/2017","0","0","0","0","0"
"11/17/2017","0","0","0","0","0"
"11/18/2017","2","2.3","2","0","0.9"
"11/19/2017","0","0","0","0","0.5"
"11/20/2017","0.6","0","3","0.9","0"
"11/21/2017","0.2","0","0.1","0.1","0"
"11/22/2017","0.4","0","0.6","0.8","0"
"11/23/2017","4","5","2","3.9","3.7"
"11/24/2017","21","10","18","13","22"
"11/25/2017","8","6.5","7","10","12"
"11/26/2017","0","0.2","0.4","0.1","0.4"
"11/27/2017","0","0","0","0","0"
"11/28/2017","0","0","0","0","0"
"11/29/2017","0","0","0","0","0"
"11/30/2017","0","0","0","0","0"
"12/1/2017","0.7","0","0","6","0.9"
"12/2/2017","0","0","0","0","0"
"12/3/2017","0","0","0","0","0"
"12/4/2017","0","0","0","0.2","0"
"12/5/2017","0","0","0","0","0"
"12/6/2017","0","0","0","0","0"
"12/7/2017","0","0","0","0","0"
"12/8/2017","2","0.4","0","5.7","6"
"12/9/2017","0.2","0","0","0.3","0.1"
"12/10/2017","0","0","0","0","0"
"12/11/2017","0","0","0","0.3","0.1"
"12/12/2017","0.4","0","1","0.2","0"
"12/13/2017","0.8","0","4","0","0"
"12/14/2017","0.6","0","2.4","0.3","0"
"12/15/2017","0.1","0","1","0","0"
"12/16/2017","0","0","0","3","0.2"
"12/17/2017","0","0","0","0","0"
"12/18/2017","0","0","0","0","0"
"12/19/2017","0","0","0","0","0"
"12/20/2017","0","0","0","0","0"
"12/21/2017","0","0","0","0","0"
"12/22/2017","0","0","0","0","0"
"12/23/2017","0","0","0","0","0"
"12/24/2017","0","0","0","0","0"
"12/25/2017","0","0","0","0","0"
"12/26/2017","0","0","0","0","0"
"12/27/2017","12","12","5","14","17"
"12/28/2017","9","9.2","13","13","8.1"
"12/29/2017","0","0","3","0","0"
"12/30/2017","0.2","1.3","11","4","3"
"12/31/2017","0","0","0","0","2.2"
"1/1/2018","0","0","0","0","0"
"1/2/2018","0.7","0","1.2","1.7","0"
"1/3/2018","3","0","1.6","5","1.3"
"1/4/2018","4.2","1.2","10","2.4","2.3"
"1/5/2018","0","0","2","0","0.1"
"1/6/2018","10","13","13","13","11"
"1/7/2018","0","1.3","1.7","4","1.3"
"1/8/2018","42","7","8","10","8"
"1/9/2018","0","0.4","2","2","4"
"1/10/2018","0","0","0","0","0"
"1/11/2018","0","0","0","0","0"
"1/12/2018","0","0","0","0","0"
"1/13/2018","0","0","0","0","0"
"1/14/2018","0","0","0.1","0","0"
"1/15/2018","0","0","1.9","0","0"
"1/16/2018","0","0","0.8","0","0"
"1/17/2018","0","0","0","0","0"
"1/18/2018","0","0","0","0","0"
"1/19/2018","0","0","0","2.1","0"
"1/20/2018","0","0","0","0","0"
"1/21/2018","0","0","0","0","0"
"1/22/2018","0","0","10","0","0"
"1/23/2018","0","0","0","0","0"
"1/24/2018","0","0","0.2","0","0"
"1/25/2018","0","0","0","0","0"
"1/26/2018","0","0","10","1","0"
"1/27/2018","1.3","0.6","13","15","0.7"
"1/28/2018","0","1","2.3","2","0"
"1/29/2018","0","0","0.4","4","4"
"1/30/2018","0","0","0","0","0.1"
"1/31/2018","0","0","0","0","0"
"2/1/2018","0","0","0","0","0"
"2/2/2018","0","0","0","0","0.2"
"2/3/2018","0","0","0","0","0"
"2/4/2018","0","0","0","0","0"
"2/5/2018","0","0","0","0","0"
"2/6/2018","0","0","0","0","0"
"2/7/2018","0","0","0","0","0"
"2/8/2018","0","0","0","0","0"
"2/9/2018","0","0","0","0","0"
"2/10/2018","0","0","1.1","0","0"
"2/11/2018","0","0","0","0","0"
"2/12/2018","0","0","0","0.1","0"
"2/13/2018","0","0","0","0.1","0"
"2/14/2018","0","0","0","0.1","0"
"2/15/2018","0","0","0","0","0"
"2/16/2018","0","0","0","0","0"
"2/17/2018","0","0","0","0","0"
"2/18/2018","0","0","0","0","0"
"2/19/2018","0","0","2","0","0"
"2/20/2018","0","0","1.1","0","0"
"2/21/2018","0","0","0","0","0"
"2/22/2018","0","14","9","6","0"
"2/23/2018","0","0.8","0","1","0"
"2/24/2018","0","0.1","0.1","0","0"
"2/25/2018","0","0","0.8","0","0"
"2/26/2018","0","0","0","0.6","0"
"2/27/2018","0.1","1","15","4","0.7"
"2/28/2018","0","0","3","0.1","0"
"3/1/2018","0","0","0","0","0"
"3/2/2018","0","0","0","0","0"
"3/3/2018","0","0","0","0","0"
"3/4/2018","13","2","0","0","0"
"3/5/2018","0","0","0","0","0"
"3/6/2018","0","0","0","0","0"
"3/7/2018","0","0","1","0","0"
"3/8/2018","11","5.1","5.4","11","20"
"3/9/2018","0","0","0","0","0"
"3/10/2018","0","0","0","0","0"
"3/11/2018","0","0","0","0","0"
"3/12/2018","0.2","0.6","2.2","2","2.1"
"3/13/2018","5","2.2","5","3.3","4"
"3/14/2018","0","0","0.1","0.3","0"
"3/15/2018","0","0","0","0.1","0"
"3/16/2018","0","0","0","0","0"
"3/17/2018","0","0","1.3","1.1","0"
"3/18/2018","0","9","13.2","5","10"
"3/19/2018","5","3","5","2","7"
"3/20/2018","0","2","0.9","2","0"
"3/21/2018","0","0","0","0","0.3"
"3/22/2018","0","0","0","0","0"
"3/23/2018","0.6","0.3","0.1","2","2"
"3/24/2018","0.2","0","1.1","1.8","0.1"
"3/25/2018","0.9","0.7","3.7","1","0"
"3/26/2018","0","0","3","0.6","0"
"3/27/2018","0.1","0.3","0.6","2.1","0"
"3/28/2018","13.7","9","9.5","16.1","11.4"
"3/29/2018","7","0","4","2.1","0"
"3/30/2018","0","0","0","0.6","0"
"3/31/2018","0","0","0","0.6","0"
"4/1/2018","0","0","0","0","0"
"4/2/2018","0","0","0","0","0"
"4/3/2018","0","0","0","0","0"
"4/4/2018","0","0","0","0.1","0"
"4/5/2018","0","0","0","0","0.6"
"4/6/2018","3","3","3.9","20","26"
"4/7/2018","0.4","0","0","0","0.3"
"4/8/2018","0","0","0","0","0"
"4/9/2018","0","0","0","0","0"
"4/10/2018","0","0","0.2","0","0"
"4/11/2018","0","0","1","0.3","0"
"4/12/2018","0","0","0","0.3","0"
"4/13/2018","0","0","0","0","0"
"4/14/2018","0","0","0","0","0"
"4/15/2018","20","18","24","27.4","12"
"4/16/2018","6","1","5.3","2","11"
"4/17/2018","0","0","0","0","0"
"4/18/2018","0","0","0","0","0.1"
"4/19/2018","0","0","0","0","0.1"
"4/20/2018","0","0","0","1.4","0.5"
"4/21/2018","0","0","0.5","0.7","0"
"4/22/2018","0","0","3","0","0"
"4/23/2018","0","0","0","0","0"
"4/24/2018","0","0","46","0","0"
"4/25/2018","27","2.2","1.4","1.1","0.8"
"4/26/2018","0.8","0","1","0.1","0"
"4/27/2018","4.2","1.6","0","9","5.8"
"4/28/2018","0","0","0","0","0"
"4/29/2018","1","0.3","2","4","5"
"4/30/2018","0","0","0.1","0","0"
"5/1/2018","0","0","0","0","0"
"5/2/2018","32","5","26","4","11"
"5/3/2018","7","26","1","15","2"
"5/4/2018","30","90","29.6","55","15.6"
"5/5/2018","37","14","14.1","48","48"
"5/6/2018","0.5","2","4","4","0.2"
"5/7/2018","0","0","0","0","0"
"5/8/2018","0","0","0.1","0","0"
"5/9/2018","0","0.7","4","0","0.6"
"5/10/2018","0.9","2","3.1","0","0"
"5/11/2018","0.1","0","38","0.4","0"
"5/12/2018","0","0","0","0","0"
"5/13/2018","0","0.7","13","0","2.2"
"5/14/2018","2","0","0","0","0"
"5/15/2018","0","0.4","3","0","0"
"5/16/2018","0","0","0","0.3","0"
"5/17/2018","0","0","5","0","0"
"5/18/2018","0","0","0","0","0"
"5/19/2018","5","0","0","22","1"
"5/20/2018","2","1","0","0.4","0"
"5/21/2018","0","10","0","11","1"
"5/22/2018","0","0","0","0","0.9"
"5/23/2018","5","0","0","37","30"
"5/24/2018","5","0","0","12","0.2"
"5/25/2018","0","0.1","0","0","0"
"5/26/2018","0","0","0","0","0"
"5/27/2018","19","3","11","43.1","35"
"5/28/2018","0.2","2","0.3","5.7","38"
"5/29/2018","0","0","4","0","0"
"5/30/2018","0","0.6","4","0","3"
"5/31/2018","53","8","0","8","12"
"6/1/2018","0","0","50","0.5","3"
"6/2/2018","19.7","4.8","26.2","39","3.3"
"6/3/2018","34","48","4.9","14","0"
"6/4/2018","11","2.2","155","16","40"
"6/5/2018","2","2","0.1","0.8","0.1"
"6/6/2018","0","0","0","0","0"
"6/7/2018","0","0","0","0","0"
"6/8/2018","0","0","0","0","0"
"6/9/2018","0.4","0","0","0","1"
"6/10/2018","1.2","2.7","0","8","9.4"
"6/11/2018","5.4","16","21.4","13","5"
"6/12/2018","0","0","0.6","0","0"
"6/13/2018","3.6","0","63","1","0.8"
"6/14/2018","30.9","23","80.1","7","15"
"6/15/2018","0.2","1","5","0.7","1"
"6/16/2018","1","0","2.5","0.1","0"
"6/17/2018","3","0","4.1","17","16"
"6/18/2018","5.5","6","26","46","2"
"6/19/2018","10","0","0","58.7","20.1"
"6/20/2018","4","0","4","44.3","11"
"6/21/2018","0","0.4","3","0","0"
"6/22/2018","0","0.1","0.3","0","0"
"6/23/2018","18","4","5","18","10"
"6/24/2018","46","13","49","113","80"
"6/25/2018","23","33","16","171","20"
"6/26/2018","13","1.3","13","28","10"
"6/27/2018","3.4","1","9","21","21.5"
"6/28/2018","2","0","0","0","1.1"
"6/29/2018","0","0","0","0","0.2"
"6/30/2018","4","0","0.1","0","0"
"7/1/2018","0.6","0","0","17","0"
"7/2/2018","0","0","0","2","0"
"7/3/2018","0","0","7.9","0","0"
"7/4/2018","0","0","0","0","0"
"7/5/2018","3","0","0","0","0"
"7/6/2018","73","15","2","37","8"
"7/7/2018","0.6","0.8","51.2","6","15"
"7/8/2018","3.7","3","11.8","36","12"
"7/9/2018","0.7","7.8","3","0.4","1.1"
"7/10/2018","22","4","0.2","3.6","2"
"7/11/2018","7","4","0","47","29.1"
"7/12/2018","0","0","0","0","0"
"7/13/2018","0","0","0","0","0"
"7/14/2018","3","5","21","24","3"
"7/15/2018","16","22","26","25.4","20"
"7/16/2018","11","0.4","0.5","0.4","0.6"
"7/17/2018","15","0","0.7","0.3","2"
"7/18/2018","1.3","0.6","6","0.7","0"
"7/19/2018","12","10.8","4.2","29","12"
"7/20/2018","50","44","29","6","14"
"7/21/2018","1.8","12","34","2.2","3.9"
"7/22/2018","0","7","0","0.4","0"
"7/23/2018","0","3","0","0","5"
"7/24/2018","3","18","0.7","27","10"
"7/25/2018","18","15","7","34","18"
"7/26/2018","16","7","13","53","87"
"7/27/2018","8","2.6","28","10.2","5"
"7/28/2018","0.5","6","20","40","9.3"
"7/29/2018","3","3.7","1.7","23","35"
"7/30/2018","0","1","0.3","0","11"
"7/31/2018","12.5","0.1","47","7","39.1"
"8/1/2018","16","9","10.8","31","14"
"8/2/2018","31","3","0.8","10","8.1"
"8/3/2018","10.1","16.7","41","30","32"
"8/4/2018","27","6.7","82","2","3"
"8/5/2018","5","1.5","0.4","52","15.3"
"8/6/2018","0","0","6","26","0"
"8/7/2018","10","3","0","29","13"
"8/8/2018","40","10","31","79","18.7"
"8/9/2018","2","0","0","0","8.2"
"8/10/2018","0","0","17","0","0.4"
"8/11/2018","0.2","5","1","10","41"
"8/12/2018","33","34","1","3","4.8"
"8/13/2018","0","5","0","0","0"
"8/14/2018","0","0","0","0.2","0"
"8/15/2018","0","0.8","1.2","0","0"
"8/16/2018","17","16","30.6","8.7","4.9"
"8/17/2018","4","0.5","21.4","3","3.4"
"8/18/2018","0","0","0","0.2","4"
"8/19/2018","0","0","0","0","0"
"8/20/2018","0","1","0","0","0"
"8/21/2018","19","0","0.6","0","2"
"8/22/2018","2","0","3","72","1"
"8/23/2018","11.1","10","1.1","38","25.9"
"8/24/2018","0.2","10","28","42","80"
"8/25/2018","0","0","0","0.9","9"
"8/26/2018","0","13","8","8","0"
"8/27/2018","2","0","0","0","0"
"8/28/2018","1.2","0.5","3.9","4","18"
"8/29/2018","9","2.3","20","16","8"
"8/30/2018","12","13","19","12.2","3"
"8/31/2018","38","43","6","13","38"
"9/1/2018","27","8","0.4","21.4","31.1"
"9/2/2018","55","26.5","49","31.1","51"
"9/3/2018","1.2","20.5","2.8","53","21"
"9/4/2018","0","0","0","0","2"
"9/5/2018","0","0","0","0","0"
"9/6/2018","0","0","0","0.1","0"
"9/7/2018","8","1","20","69","20.3"
"9/8/2018","0","0","0","0","0"
"9/9/2018","0.7","0","0","0","0"
"9/10/2018","0","0","0","2","1.1"
"9/11/2018","0","0","0","0","0"
"9/12/2018","0","0","0","0","0.2"
"9/13/2018","0","0","0","44","11"
"9/14/2018","10","4.2","21","9.3","12"
"9/15/2018","0","1","0.7","0.1","0.1"
"9/16/2018","0","0","0","0","0"
"9/17/2018","5","7","24","2","2"
"9/18/2018","11","14","27","14","4"
"9/19/2018","16","11.3","22.6","15.1","16.2"
"9/20/2018","0","0","0","0","0"
"9/21/2018","0","0","0","0","0"
"9/22/2018","0","0","0","0","0"
"9/23/2018","0","0","0","0","0"
"9/24/2018","0","0","0","0","0"
"9/25/2018","0","0","0","0","0"
"9/26/2018","0","0.2","0","10","0"
"9/27/2018","0","0","38","11","0"
"9/28/2018","1","0","0.1","13.7","34"
"9/29/2018","0","0","0","0","0"
"9/30/2018","0","0","0","0","0"
"10/1/2018","0","0","0","0","0"
"10/2/2018","0","0","0","0","0.6"
"10/3/2018","0","0","0","0","0"
"10/4/2018","0.1","0","0","0","0"
"10/5/2018","1","0","0","0","0"
"10/6/2018","5","0","0","0","0"
"10/7/2018","0.3","0.7","0","0","0"
"10/8/2018","0.3","0","0","0.6","1"
"10/9/2018","33","2","0","10","0"
"10/10/2018","1.3","4.5","23.8","0.5","0"
"10/11/2018","0.4","0.1","0.1","0","0.2"
"10/12/2018","0.2","0","0","0.2","0.1"
"10/13/2018","0","0","0.5","0","0.1"
"10/14/2018","0.1","0.6","3.2","2.2","0.6"
"10/15/2018","1","1.2","13","3","0.8"
"10/16/2018","1.1","9","2","7","14.4"
"10/17/2018","8","6.9","30","7","5"
"10/18/2018","0","0","1.4","1","0"
"10/19/2018","0.1","0.5","2","0.4","0"
"10/20/2018","0.6","0","0.6","4","0.8"
"10/21/2018","0","0.4","3.1","1.6","0"
"10/22/2018","4","6","8.8","18","19"
"10/23/2018","50","78","48","53","7.9"
"10/24/2018","4.9","10.8","8.9","8","7"
"10/25/2018","0.9","0","0.3","2.9","0.1"
"10/26/2018","6","2","5","2","3"
"10/27/2018","2.1","0.2","0","15.1","15.1"
"10/28/2018","0.8","0","0","0","0"
"10/29/2018","0","0","0","0.4","0"
"10/30/2018","0","0","0","0","0"
"10/31/2018","0","0","0","0","0"
"11/1/2018","0","0","0","0","0"
"11/2/2018","0","0","0","0","0"
"11/3/2018","0","0","0","0","0"
"11/4/2018","0","0","0","0","0"
"11/5/2018","0","0","0","2.1","0"
"11/6/2018","0","0","0","0.4","0"
"11/7/2018","0","0","0","3.2","0"
"11/8/2018","4","3","2","20","12"
"11/9/2018","0","0","0","0","0"
"11/10/2018","0","0","0","0","0"
"11/11/2018","6","0.9","4.6","1.1","0.8"
"11/12/2018","0.5","0","0","0","0"
"11/13/2018","0","0","1","0","0"
"11/14/2018","0","0.1","0.7","1.8","0.7"
"11/15/2018","0","0","8","0","0"
"11/16/2018","1","4","16.1","3","0"
"11/17/2018","0","2","1.5","0.5","0"
"11/18/2018","0","4","4","1","0"
"11/19/2018","0","11.6","0.3","0.1","0"
"11/20/2018","0","0","2.1","0.6","0"
"11/21/2018","0","0","0.2","0.1","0"
"11/22/2018","0","0","0","0.6","1"
"11/23/2018","0","0","0","0","0"
"11/24/2018","0","0","0","0","0"
"11/25/2018","0","0","0","0","0"
"11/26/2018","0","0","0","0","0"
"11/27/2018","0","0","0","0","0"
"11/28/2018","0","0","0","0","0"
"11/29/2018","0","0","0","0","0"
"11/30/2018","0","0","0","0","0"
"12/1/2018","0","0","1","0","0"
"12/2/2018","0","0.1","0","0","0"
"12/3/2018","0","0","0","0","0"
"12/4/2018","0","0","0","0","0"
"12/5/2018","0","0","0","0","0"
"12/6/2018","0","0","0","1","0"
"12/7/2018","0","0","0.6","0.3","0"
"12/8/2018","1.5","0.4","7","3.6","1"
"12/9/2018","0.7","0","0.5","1.1","0"
"12/10/2018","10.4","3","0.1","1","3"
"12/11/2018","0.8","0.1","1.1","0.2","0"
"12/12/2018","1","5","8","2.5","2.5"
"12/13/2018","0.1","0.1","0.6","0","0.2"
"12/14/2018","0","0","0.1","0","0"
"12/15/2018","0.1","0","0.1","0","0"
"12/16/2018","0.3","0","1.1","0.8","0"
"12/17/2018","0","0","0","0","0"
"12/18/2018","0","0","0","0","0"
"12/19/2018","0","0","0","0","0"
"12/20/2018","0","0","0","0.4","0.6"
"12/21/2018","0","0","0","0","0"
"12/22/2018","0","0","0","0","0"
"12/23/2018","0","0","0","0","0"
"12/24/2018","0.3","0","0.2","2","0"
"12/25/2018","0","0","0","0","0"
"12/26/2018","0","0","0","0","0"
"12/27/2018","0","0","0.2","0.1","0"
"12/28/2018","1","0.1","2.6","9","0"
"12/29/2018","6","0.7","5","18","2.2"
"12/30/2018","5.3","9","13","11","11"
"12/31/2018","0","0","0.2","0.1","0"
"1/1/2019","0","0","0","0","0"
"1/2/2019","0.7","0","0","0.5","0"
"1/3/2019","0.3","0.5","0.6","0","0"
"1/4/2019","0","0","1.4","0","0"
"1/5/2019","0","0","2.3","0","0"
"1/6/2019","0","0","0.8","0","0"
"1/7/2019","0.1","0","1.2","0","0"
"1/8/2019","38","2","6","18","9"
"1/9/2019","20","24","15","38","42"
"1/10/2019","6","4","11","2.9","5.5"
"1/11/2019","0.3","0","1.1","0.1","0"
"1/12/2019","0","0","2.2","0.2","0"
"1/13/2019","0","0","0","0","0"
"1/14/2019","0","0","0.9","0.9","0"
"1/15/2019","1","0.4","2.9","12","0"
"1/16/2019","9","9","4","14","16"
"1/17/2019","0","0","0.4","0","0"
"1/18/2019","0","0","0.3","0","0"
"1/19/2019","0","0","0.1","0","0"
"1/20/2019","0","0","11.1","0","0"
"1/21/2019","19","24.9","10","19","10"
"1/22/2019","0","0","0","0","0.4"
"1/23/2019","0","0","0","0","0"
"1/24/2019","0","0","0","0","0"
"1/25/2019","0","0","0","0","0"
"1/26/2019","0","0","0","0","0"
"1/27/2019","0","0","0","0","0"
"1/28/2019","0","0","0","0","0"
"1/29/2019","0","0","0","0.2","0"
"1/30/2019","0","0","2.1","2.7","0.7"
"1/31/2019","0","0","0","0","0"
"2/1/2019","0","0","0.4","0.6","0"
"2/2/2019","0","0","0","0","0"
"2/3/2019","0","0","0","0","0"
"2/4/2019","0","0","0","0","0"
"2/5/2019","0","0","0","0","0"
"2/6/2019","0","0","0","0","0"
"2/7/2019","0","0","0","0","0"
"2/8/2019","0","0","0","0","0"
"2/9/2019","0","0","0","0","0"
"2/10/2019","0","0","0","0","0"
"2/11/2019","0","0","0.3","0.4","0"
"2/12/2019","0","0","1.5","2","0"
"2/13/2019","0","0","2","1","0"
"2/14/2019","0","0","0.4","0.4","0"
"2/15/2019","0","0","1","0.4","0"
"2/16/2019","0","0","0.3","0","0"
"2/17/2019","14","53","16","35","24"
"2/18/2019","3","20","21","9","1"
"2/19/2019","0","0","0.1","0","0"
"2/20/2019","0","0","0","0","0"
"2/21/2019","0","0","0","0","0"
"2/22/2019","0","1","0.2","1","0"
"2/23/2019","0.1","1","4.2","1.4","0"
"2/24/2019","0","0","0","3","0"
"2/25/2019","0","0","1","0","0"
"2/26/2019","0","0","2","0","0"
"2/27/2019","4","0","0.8","0.1","0"
"2/28/2019","0","0","0.4","0","0"
"3/1/2019","0","0","0.5","0.1","0"
"3/2/2019","0","0","0","0.3","0"
"3/3/2019","0","0","0","0","0"
"3/4/2019","0","2","21","0","0"
"3/5/2019","0","1","2","0","0"
"3/6/2019","20","5","21","7","37.5"
"3/7/2019","23","27","17","23","28"
"3/8/2019","0.2","0.5","1.2","0.2","0.1"
"3/9/2019","0","0","0.8","0","0"
"3/10/2019","3","0","0","0.1","0.1"
"3/11/2019","0","0","0","0","0"
"3/12/2019","0","0","0","0","0"
"3/13/2019","0","0","0","0","0"
"3/14/2019","0","0","0","0","0"
"3/15/2019","0","0.1","0","0.7","0"
"3/16/2019","0.2","0","0.3","0.1","0"
"3/17/2019","0.8","0","3.4","0.1","0"
"3/18/2019","0.7","0","2.1","0.2","0"
"3/19/2019","8","10","4","31.1","9"
"3/20/2019","0","0","0.6","0","0"
"3/21/2019","0","0","0","0","0"
"3/22/2019","0","0","0","0","0"
"3/23/2019","0.1","0","0","6","0"
"3/24/2019","0","0","0","0.2","0"
"3/25/2019","0","0","0.1","0","0"
"3/26/2019","0","0","1.1","0","0"
"3/27/2019","0","0","0.1","0","0"
"3/28/2019","0","0","0.4","0.2","4"
"3/29/2019","1","6","1.3","2","8"
"3/30/2019","0","0","0","0","0"
"3/31/2019","0","0","0","0","0"
"4/1/2019","0.2","0.3","42","8","0"
"4/2/2019","0.3","0","1.2","1","0.2"
"4/3/2019","2","4","9.9","0.7","1.1"
"4/4/2019","0.7","2","16.2","1","0.3"
"4/5/2019","0","0","0.2","0.6","0"
"4/6/2019","17","0","0.7","0.1","0"
"4/7/2019","0","0","0","0","0"
"4/8/2019","4","7.5","3","4","15"
"4/9/2019","0","0","0","0","0"
"4/10/2019","0","0","0","0","0"
"4/11/2019","0","0","0","0","0"
"4/12/2019","0","1","0.3","0","0"
"4/13/2019","0","0","0.8","0","0"
"4/14/2019","9","0","0.1","0","0"
"4/15/2019","22","12","12","10","35"
"4/16/2019","1.2","0.1","10","1.8","0"
"4/17/2019","0","0","0","2","0"
"4/18/2019","0","0","2","0","0"
"4/19/2019","0","0","0","0","0"
"4/20/2019","0","0","0","0","0"
"4/21/2019","0","0","0","0","0"
"4/22/2019","0","0","0","0","0"
"4/23/2019","0","0","0","0","6"
"4/24/2019","0","0","0","0.4","2"
"4/25/2019","0","0","0","0","0"
"4/26/2019","1","0","0.5","0","0"
"4/27/2019","0","15","0","0.1","2"
"4/28/2019","0","0","0","0","3"
"4/29/2019","6","30","0.2","5","5"
"4/30/2019","19","0.4","24","16","0"
"5/1/2019","2","6","3","7","33"
"5/2/2019","0","0","0","0","0"
"5/3/2019","1.7","0.5","1.6","0","0"
"5/4/2019","2.1","0","4","0.4","0"
"5/5/2019","1","0","2","0.1","0"
"5/6/2019","0","0","1.1","0","0"
"5/7/2019","0.3","10","17","8","8"
"5/8/2019","0","10","4","0.7","0"
"5/9/2019","0","0","0.2","3","0"
"5/10/2019","0.1","0","0","0.5","0"
"5/11/2019","2.1","0","8.3","0.1","0"
"5/12/2019","3","0","0.1","7","0.2"
"5/13/2019","0","0","0","11.2","1"
"5/14/2019","1","0.5","0.5","19","6"
"5/15/2019","0","0","0","0","0"
"5/16/2019","0","0","0","0","0"
"5/17/2019","0","0","0","0","0"
"5/18/2019","0","0","0","0","0"
"5/19/2019","0","0","0","0","0"
"5/20/2019","0","0","0","2","0"
"5/21/2019","0","0","0","0.8","0"
"5/22/2019","1.2","20","3","18","14.1"
"5/23/2019","0","0","0","0","0"
"5/24/2019","0","0","0.1","0.8","1.1"
"5/25/2019","0","2","1.3","5","11"
"5/26/2019","0","0.2","0.9","5","0"
"5/27/2019","75","44","171","12.9","5.7"
"5/28/2019","0.7","0","37","9","4"
"5/29/2019","2","12","12","23","28"
"5/30/2019","1","1.8","5","0.7","0"
"5/31/2019","32","5","6.2","83","60"
"6/1/2019","26","9","19.9","4.7","6"
"6/2/2019","0.1","0","0.3","0","0"
"6/3/2019","0","0","0","0","0"
"6/4/2019","0","0","0","14","5"
"6/5/2019","0","0","2","10","13"
"6/6/2019","0.4","0","0","18","0"
"6/7/2019","0","0","0","16","0"
"6/8/2019","0","0","0","0","0.3"
"6/9/2019","0","0.5","0","0","0"
"6/10/2019","133","29","13","0","0"
"6/11/2019","0.9","27","50","37","0"
"6/12/2019","0.8","1","1","0","0"
"6/13/2019","42","41","82","3.2","6.2"
